Timestamp,RTU: Supply Air Temperature,RTU: Return Air Temperature,RTU: Supply Air Volumetric Flow Rate,RTU: Circuit 1 Discharge Temperature,RTU: Circuit 2 Discharge Temperature
2017-08-27 06:43:00,67.22,74.72,4339.0,92.2,75.88
2017-08-27 06:44:00,62.92,74.76,4378.0,119.2,73.93
2017-08-27 06:45:00,61.0,74.7,4392.0,133.7,73.54
2017-08-27 06:46:00,58.69,74.57,4402.0,144.1,117.0
2017-08-27 06:47:00,56.98,74.46,4410.0,157.1,160.8
2017-08-27 06:48:00,56.73,74.28,4403.0,167.0,178.1
2017-08-27 06:49:00,59.69,74.08,4369.0,152.6,171.7
2017-08-27 06:50:00,59.14,74.01,4366.0,143.8,157.6
2017-08-27 06:51:00,59.0,73.89,4380.0,136.3,143.4
2017-08-27 06:52:00,61.39,73.78,4368.0,132.7,135.7
2017-08-27 06:55:00,67.0,73.61,4333.0,116.3,123.2
2017-08-27 06:56:00,61.9,73.59,4366.0,122.7,115.2
2017-08-27 06:57:00,60.1,73.53,4378.0,125.8,105.1
2017-08-27 06:58:00,57.26,73.45,4404.0,129.1,107.6
2017-08-27 06:59:00,53.84,73.37,4421.0,126.8,126.6
2017-08-27 07:00:00,52.39,73.2,4433.0,125.4,134.5
2017-08-27 07:01:00,54.34,73.06,4406.0,122.9,132.8
2017-08-27 07:02:00,55.95,72.9,4391.0,124.0,124.1
2017-08-27 07:03:00,56.13,72.81,4391.0,125.9,116.4
2017-08-27 07:04:00,54.47,72.64,4414.0,128.4,110.4
2017-08-27 07:05:00,51.97,72.53,4431.0,125.9,126.5
2017-08-27 07:06:00,50.99,72.38,4431.0,124.3,133.8
2017-08-27 07:07:00,51.92,72.25,4416.0,122.3,134.5
2017-08-27 07:08:00,54.53,72.1,4400.0,122.2,126.0
2017-08-27 07:09:00,54.86,72.04,4396.0,124.3,118.0
2017-08-27 07:10:00,55.09,72.01,4395.0,125.7,110.8
2017-08-27 07:11:00,52.72,71.92,4413.0,127.9,112.5
2017-08-27 07:12:00,50.79,71.83,4435.0,124.6,127.4
2017-08-27 07:13:00,49.93,71.73,4437.0,123.1,133.8
2017-08-27 07:14:00,52.5,71.58,4406.0,120.8,130.4
2017-08-27 07:15:00,53.96,71.52,4400.0,122.6,122.0
2017-08-27 07:16:00,54.25,71.44,4398.0,124.4,114.6
2017-08-27 07:17:00,54.51,71.4,4398.0,125.5,107.9
2017-08-27 07:18:00,54.7,71.34,4400.0,126.2,102.0
2017-08-27 07:19:00,52.2,71.27,4420.0,127.7,109.5
2017-08-27 07:20:00,50.24,71.24,4440.0,124.1,125.9
2017-08-27 07:21:00,49.37,71.16,4450.0,122.5,132.6
2017-08-27 07:22:00,52.33,71.06,4402.0,120.2,127.9
2017-08-27 07:23:00,53.42,70.97,4396.0,122.3,119.9
2017-08-27 07:24:00,53.73,70.92,4397.0,124.0,112.8
2017-08-27 07:25:00,53.7,70.9,4401.0,125.4,104.4
2017-08-27 07:26:00,50.73,70.84,4427.0,126.0,117.2
2017-08-27 07:27:00,49.34,70.8,4434.0,123.1,128.4
2017-08-27 07:28:00,49.35,70.7,4431.0,121.5,132.3
2017-08-27 07:29:00,52.45,70.62,4411.0,120.2,125.2
2017-08-27 07:30:00,53.0,70.54,4405.0,122.6,117.5
2017-08-27 07:33:00,60.38,70.51,4360.0,117.2,106.1
2017-08-27 07:34:00,58.07,70.57,4384.0,110.4,103.6
2017-08-27 07:35:00,56.18,70.6,4387.0,118.5,98.4
2017-08-27 07:36:00,55.63,70.67,4383.0,122.0,93.3
2017-08-27 07:37:00,55.24,70.66,4387.0,124.0,89.3
2017-08-27 07:38:00,55.17,70.7,4385.0,125.2,85.8
2017-08-27 07:39:00,55.1,70.68,4386.0,125.8,83.0
2017-08-27 07:40:00,57.21,70.66,4365.0,125.5,81.3
2017-08-27 07:43:00,61.5,70.76,4356.0,112.4,79.82
2017-08-27 07:44:00,58.15,70.81,4371.0,118.8,78.44
2017-08-27 07:45:00,56.89,70.83,4383.0,123.0,77.28
