Datetime,Chilled Water Rate (L/sec),Cooling Water Temperature (C),Building Load (RT),Chiller Energy Consumption (kWh),Outside Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in)
2019-08-18 00:00:00,85.6,31.4,479.6,116.2,82,75,79,13,29.83
2019-08-18 00:30:00,84.3,31.1,460.3,114.5,82,75,79,12,29.83
2019-08-18 01:00:00,84.6,31.3,462.4,116.8,82,75,79,12,29.83
2019-08-18 01:30:00,84.8,31.4,458.5,117.0,82,75,79,12,29.83
2019-08-18 02:00:00,84.7,31.4,455.4,117.0,82,75,79,12,29.83
2019-08-18 02:30:00,84.4,31.4,454.3,116.7,82,77,84,12,29.83
2019-08-18 03:00:00,86.4,31.5,466.1,119.0,82,75,79,12,29.83
2019-08-18 03:30:00,89.1,31.8,477.4,122.6,82,77,84,9,29.83
2019-08-18 04:00:00,89.1,31.8,473.3,122.2,82,77,84,10,29.8
2019-08-18 04:30:00,89.3,31.9,478.8,123.3,82,77,84,12,29.8
2019-08-18 05:00:00,87.5,31.9,471.9,121.8,82,77,84,12,29.8
2019-08-18 05:30:00,84.7,31.6,456.1,117.4,82,77,84,10,29.83
2019-08-18 06:00:00,84.5,31.6,458.2,117.6,82,77,84,10,29.83
2019-08-18 06:30:00,84.4,31.5,460.1,117.8,82,75,79,10,29.83
2019-08-18 07:00:00,88.4,31.8,487.6,121.9,82,75,79,10,29.86
2019-08-18 07:30:00,96.2,32.6,551.9,130.1,82,77,84,10,29.86
2019-08-18 08:00:00,98.0,32.8,569.2,129.5,84,77,79,13,29.86
2019-08-18 08:30:00,95.2,32.6,559.3,124.8,86,77,74,12,29.89
2019-08-18 09:00:00,95.8,32.7,561.9,125.7,86,77,74,12,29.89
2019-08-18 09:30:00,97.6,32.8,576.0,129.9,88,77,70,10,29.89
2019-08-18 10:00:00,96.8,33.0,575.8,130.3,88,77,70,10,29.89
2019-08-18 10:30:00,99.2,33.4,596.7,136.8,88,77,70,12,29.89
2019-08-18 11:00:00,102.8,33.7,611.8,143.4,90,75,62,10,29.86
2019-08-18 11:30:00,102.6,33.4,602.6,139.2,91,72,52,14,29.86
2019-08-18 12:00:00,102.1,33.3,595.9,137.7,90,72,55,12,29.86
2019-08-18 12:30:00,100.7,32.9,582.2,132.0,90,72,55,12,29.86
