date,co2,humidity,light,pir,temperature
2013-08-23 23:05:27,367.0,52.87,194.0,0.0,22.84
2013-08-23 23:05:30,359.0,52.87,195.0,0.0,22.83
2013-08-25 01:38:35,335.0,54.07,195.0,0.0,23.91
2013-08-25 15:53:43,331.0,60.25,158.0,0.0,23.01
2013-08-25 17:45:43,335.0,59.34,260.0,0.0,23.38
2013-08-25 17:52:45,331.0,59.28,187.0,0.0,23.4
2013-08-25 18:58:04,340.0,59.04,208.0,0.0,23.45
2013-08-25 19:12:43,351.0,59.25,200.0,0.0,23.46
2013-08-25 21:06:05,326.0,59.86,206.0,0.0,23.36
2013-08-25 21:48:53,328.0,59.74,314.0,0.0,23.44
2013-08-25 22:46:35,339.0,58.91,301.0,0.0,23.7
2013-08-25 23:58:53,340.0,58.18,368.0,0.0,23.88
2013-08-26 00:56:55,353.0,57.19,204.0,0.0,24.08
2013-08-26 01:40:25,335.0,56.35,212.0,0.0,24.27
2013-08-26 06:35:11,316.0,56.35,19.0,0.0,23.4
2013-08-26 06:50:04,311.0,56.42,19.0,0.0,23.36
2013-08-26 07:32:41,324.0,56.11,19.0,0.0,23.27
2013-08-26 07:46:31,338.0,56.08,18.0,0.0,23.25
2013-08-26 08:15:11,319.0,56.17,18.0,0.0,23.18
2013-08-26 09:28:21,309.0,56.26,19.0,0.0,23.04
2013-08-26 09:58:11,327.0,56.23,19.0,0.0,23.0
2013-08-26 10:12:43,330.0,56.26,18.0,0.0,22.98
2013-08-26 10:40:21,319.0,56.35,17.0,0.0,22.92
2013-08-26 11:22:20,331.0,56.35,18.0,0.0,22.85
2013-08-26 11:51:31,327.0,56.54,18.0,0.0,22.74
2013-08-26 12:18:41,319.0,56.91,18.0,0.0,22.69
2013-08-26 12:34:20,321.0,56.79,19.0,0.0,22.73
2013-08-26 12:47:51,307.0,56.82,20.0,0.0,22.72
2013-08-26 13:22:40,320.0,57.13,19.0,0.0,22.73
2013-08-26 13:50:11,340.0,57.47,25.0,0.0,22.73
2013-08-26 14:17:50,326.0,57.47,29.0,0.0,22.73
2013-08-26 14:59:20,330.0,57.13,60.0,0.0,22.64
2013-08-26 15:26:34,348.0,56.63,106.0,0.0,22.71
2013-08-26 15:41:11,327.0,56.45,111.0,0.0,22.76
2013-08-26 16:09:54,344.0,56.23,140.0,0.0,22.83
2013-08-26 16:38:50,360.0,56.08,140.0,0.0,22.89
2013-08-26 16:52:54,352.0,56.01,141.0,0.0,22.9
2013-08-26 17:36:10,372.0,55.58,266.0,0.0,23.02
2013-08-26 18:07:49,376.0,55.26,187.0,0.0,23.13
2013-08-26 18:23:40,354.0,55.14,265.0,0.0,23.16
2013-08-26 18:39:29,371.0,55.14,205.0,0.0,23.2
2013-08-26 18:53:01,384.0,55.11,203.0,0.0,23.22
2013-08-26 20:31:50,387.0,55.98,203.0,0.0,23.14
2013-08-26 21:01:00,399.0,56.26,203.0,0.0,23.06
2013-08-26 21:15:32,407.0,56.17,201.0,0.0,23.06
2013-08-26 21:29:21,403.0,55.89,199.0,0.0,23.05
2013-08-26 22:12:11,406.0,55.45,189.0,0.0,23.0
2013-08-26 22:54:09,410.0,55.05,189.0,0.0,23.03
2013-08-26 23:20:51,393.0,54.7,191.0,0.0,23.0
2013-08-26 23:49:01,414.0,54.64,183.0,0.0,23.1
2013-08-27 00:03:22,439.0,54.64,181.0,0.0,23.15
2013-08-27 00:17:32,423.0,54.45,174.0,0.0,23.22
2013-08-27 00:44:49,408.0,54.32,170.0,0.0,23.31
2013-08-27 00:58:21,415.0,54.23,172.0,0.0,23.35
2013-08-27 01:25:49,404.0,54.14,178.0,0.0,23.42
2013-08-27 02:07:12,373.0,53.7,176.0,0.0,23.53
2013-08-27 02:21:40,364.0,53.6,124.0,0.0,23.53
2013-08-27 02:36:20,331.0,53.35,41.0,0.0,23.47
2013-08-27 02:50:31,335.0,53.76,25.0,0.0,23.38
2013-08-27 03:05:28,335.0,54.1,19.0,0.0,23.32
2013-08-27 03:19:19,328.0,54.32,19.0,0.0,23.25
2013-08-27 03:33:00,328.0,54.42,17.0,0.0,23.18
2013-08-27 04:14:58,336.0,54.23,18.0,0.0,23.08
2013-08-27 04:29:19,351.0,53.63,19.0,0.0,23.11
2013-08-27 04:43:19,349.0,53.35,18.0,0.0,23.13
2013-08-27 04:57:09,336.0,53.35,16.0,0.0,23.14
2013-08-27 05:24:10,352.0,53.22,18.0,0.0,23.14
2013-08-27 05:39:03,345.0,53.1,18.0,0.0,23.14
2013-08-27 06:07:41,343.0,52.94,20.0,0.0,23.12
2013-08-27 06:21:50,347.0,52.87,18.0,0.0,23.1
2013-08-27 06:36:18,347.0,52.87,19.0,0.0,23.1
2013-08-27 06:50:51,327.0,52.91,19.0,0.0,23.06
2013-08-27 07:19:11,356.0,52.97,18.0,0.0,23.02
2013-08-27 07:33:11,319.0,53.0,19.0,0.0,23.0
2013-08-27 07:46:59,335.0,53.1,18.0,0.0,22.99
2013-08-27 08:29:19,333.0,53.73,18.0,0.0,22.94
2013-08-27 08:43:49,340.0,53.85,19.0,0.0,22.92
2013-08-27 09:25:37,317.0,54.32,18.0,0.0,22.84
2013-08-27 09:39:58,320.0,54.36,18.0,0.0,22.84
2013-08-27 10:23:38,320.0,53.51,18.0,0.0,22.76
2013-08-27 10:37:57,309.0,53.0,16.0,0.0,22.73
2013-08-27 11:34:23,319.0,51.25,17.0,0.0,22.61
2013-08-27 11:48:27,328.0,51.06,19.0,0.0,22.57
2013-08-27 11:58:27,327.0,50.9,18.0,0.0,22.57
2013-08-27 12:02:11,336.0,50.9,19.0,0.0,22.56
2013-08-27 12:26:17,336.0,50.93,18.0,0.0,22.54
2013-08-27 12:54:30,316.0,51.09,18.0,0.0,22.52
2013-08-27 13:36:27,330.0,51.83,23.0,0.0,22.5
2013-08-27 13:49:40,343.0,52.18,32.0,0.0,22.47
2013-08-27 14:02:17,319.0,52.4,39.0,0.0,22.46
2013-08-27 14:43:50,344.0,53.13,69.0,0.0,22.48
2013-08-27 15:11:30,352.0,53.82,76.0,0.0,22.43
2013-08-27 15:25:07,351.0,53.82,86.0,0.0,22.5
2013-08-27 15:38:36,330.0,53.85,97.0,0.0,22.53
2013-08-27 15:52:47,343.0,53.95,115.0,0.0,22.55
2013-08-27 16:06:47,343.0,54.04,132.0,0.0,22.58
2013-08-27 16:26:34,339.0,54.2,148.0,0.0,22.61
2013-08-27 16:35:36,352.0,54.32,154.0,0.0,22.62
2013-08-27 16:50:36,379.0,54.42,163.0,0.0,22.64
2013-08-27 16:59:01,342.0,54.7,169.0,0.0,22.64
2013-08-27 17:05:11,351.0,54.86,172.0,0.0,22.62
2013-08-27 17:33:57,349.0,55.67,182.0,0.0,22.58
2013-08-27 18:02:08,360.0,55.64,190.0,0.0,22.66
2013-08-27 23:23:02,419.0,57.5,194.0,0.0,22.95
2013-08-29 12:48:28,342.0,60.98,18.0,0.0,22.47
2013-08-29 14:37:26,343.0,61.55,48.0,0.0,22.39
2013-08-29 16:11:50,336.0,61.55,118.0,0.0,22.51
2013-08-29 16:12:20,331.0,61.55,122.0,0.0,22.51
2013-08-29 16:12:31,341.0,61.55,123.0,0.0,22.51
2013-08-29 16:12:50,350.0,61.58,125.0,0.0,22.51
2013-08-29 16:13:04,343.0,61.58,127.0,0.0,22.5
2013-08-29 16:13:18,343.0,61.58,128.0,0.0,22.51
2013-08-29 16:13:41,357.0,61.58,130.0,0.0,22.52
2013-08-29 16:13:52,348.0,61.55,131.0,0.0,22.52
2013-08-29 16:14:12,337.0,61.55,131.0,0.0,22.5
2013-08-29 16:14:29,336.0,61.58,131.0,0.0,22.51
2013-08-29 16:14:43,339.0,61.55,132.0,0.0,22.52
2013-08-29 16:15:11,343.0,61.58,132.0,0.0,22.51
2013-08-29 16:15:27,344.0,61.55,131.0,0.0,22.52
2013-08-29 16:15:39,335.0,61.58,132.0,0.0,22.52
2013-08-29 16:15:48,344.0,61.58,133.0,0.0,22.53
2013-08-29 16:16:05,351.0,61.55,133.0,0.0,22.52
2013-08-29 16:16:11,351.0,61.55,133.0,0.0,22.52
2013-08-29 16:16:41,335.0,61.55,133.0,0.0,22.52
2013-08-29 16:17:06,345.0,61.55,134.0,0.0,22.52
2013-08-29 16:17:20,343.0,61.58,134.0,0.0,22.52
2013-08-29 16:17:28,343.0,61.55,135.0,0.0,22.52
2013-08-29 16:17:45,350.0,61.58,136.0,0.0,22.52
2013-08-29 16:18:04,325.0,61.58,135.0,0.0,22.52
2013-08-29 16:18:10,336.0,61.55,134.0,0.0,22.53
2013-08-29 16:18:18,344.0,61.58,135.0,0.0,22.52
2013-08-29 16:18:29,351.0,61.55,135.0,0.0,22.52
2013-08-29 16:19:23,349.0,61.55,133.0,0.0,22.52
2013-08-29 16:20:32,335.0,61.55,131.0,0.0,22.53
2013-08-29 16:20:57,343.0,61.55,133.0,0.0,22.54
2013-08-29 16:21:26,347.0,61.55,138.0,0.0,22.53
2013-08-29 16:21:44,341.0,61.55,140.0,0.0,22.53
2013-08-29 16:22:11,336.0,61.55,144.0,0.0,22.53
2013-08-29 16:22:21,350.0,61.52,144.0,0.0,22.53
2013-08-29 16:22:27,343.0,61.52,144.0,0.0,22.52
2013-08-29 16:22:39,349.0,61.55,146.0,0.0,22.53
2013-08-29 16:22:56,336.0,61.55,147.0,0.0,22.53
2013-08-29 16:23:19,335.0,61.55,148.0,0.0,22.54
2013-08-29 16:23:31,335.0,61.55,149.0,0.0,22.53
2013-08-29 16:23:49,338.0,61.55,150.0,0.0,22.53
2013-08-29 16:24:04,356.0,61.52,151.0,0.0,22.54
2013-08-29 16:24:12,343.0,61.55,152.0,0.0,22.54
2013-08-29 16:24:20,335.0,61.52,153.0,0.0,22.53
2013-08-29 16:24:27,335.0,61.55,155.0,0.0,22.54
2013-08-29 16:24:41,323.0,61.55,158.0,0.0,22.54
2013-08-29 16:24:57,336.0,61.52,161.0,0.0,22.54
2013-08-29 16:25:11,345.0,61.55,161.0,0.0,22.54
2013-08-29 16:25:32,342.0,61.55,162.0,0.0,22.54
2013-08-29 16:26:02,335.0,61.55,161.0,0.0,22.54
2013-08-29 16:26:07,340.0,61.52,160.0,0.0,22.54
2013-08-29 16:26:24,335.0,61.55,158.0,0.0,22.54
2013-08-29 16:26:58,339.0,61.52,151.0,0.0,22.54
2013-08-29 16:27:09,343.0,61.55,149.0,0.0,22.55
2013-08-29 16:28:51,336.0,61.55,136.0,0.0,22.55
2013-08-29 19:33:47,416.0,60.04,204.0,0.0,23.08
2013-08-29 21:36:27,640.0,60.83,195.0,0.0,23.55
2013-08-29 22:50:07,410.0,60.13,186.0,0.0,23.36
2013-08-29 23:02:08,399.0,60.07,188.0,0.0,23.32
2013-08-30 00:15:07,431.0,59.19,171.0,0.0,23.29
2013-08-30 01:52:07,399.0,58.45,169.0,0.0,23.52
2013-08-30 03:17:26,336.0,59.95,19.0,0.0,23.15
2013-08-30 03:54:57,335.0,60.47,18.0,0.0,22.95
2013-08-30 04:32:08,354.0,60.77,19.0,0.0,22.88
2013-08-30 05:11:46,351.0,60.59,18.0,0.0,22.95
2013-08-30 06:51:47,359.0,60.8,20.0,0.0,22.88
2013-08-30 07:17:05,350.0,60.83,18.0,0.0,22.84
2013-08-30 07:41:46,351.0,60.86,18.0,0.0,22.8
2013-08-30 07:53:26,355.0,60.89,18.0,0.0,22.79
2013-08-30 08:18:16,347.0,60.95,18.0,0.0,22.76
2013-08-30 08:30:56,352.0,61.1,18.0,0.0,22.74
2013-08-30 08:43:06,347.0,61.25,18.0,0.0,22.72
2013-08-30 09:07:36,346.0,61.37,19.0,0.0,22.68
2013-08-30 09:33:16,343.0,61.52,17.0,0.0,22.66
2013-08-30 11:01:57,341.0,61.94,19.0,0.0,22.53
2013-08-30 12:27:25,351.0,62.0,18.0,0.0,22.46
2013-08-30 12:40:15,344.0,61.85,19.0,0.0,22.43
2013-08-30 12:52:53,351.0,61.85,17.0,0.0,22.41
2013-08-30 13:18:45,337.0,61.82,19.0,0.0,22.38
2013-08-30 13:32:25,347.0,61.94,19.0,0.0,22.38
2013-08-30 13:42:45,343.0,61.97,23.0,0.0,22.37
2013-08-30 13:44:55,352.0,62.0,24.0,0.0,22.36
2013-08-30 14:09:25,343.0,62.06,36.0,0.0,22.35
2013-08-30 16:39:07,454.0,62.39,156.0,0.0,22.63
2013-08-30 17:41:56,752.0,62.78,182.0,0.0,23.03
2013-08-30 18:19:02,583.0,62.12,195.0,0.0,23.06
2013-08-30 18:30:45,479.0,62.39,199.0,0.0,23.0
2013-08-30 18:43:03,592.0,62.6,199.0,0.0,23.11
2013-08-30 19:33:05,448.0,61.43,201.0,0.0,23.0
2013-08-30 20:22:45,438.0,60.83,204.0,0.0,23.06
2013-08-30 21:23:55,427.0,59.95,200.0,0.0,23.21
2013-08-30 21:35:53,413.0,59.8,198.0,0.0,23.24
2013-08-30 21:59:34,411.0,59.43,193.0,0.0,23.28
2013-08-30 22:11:15,395.0,59.22,191.0,0.0,23.3
2013-08-30 23:00:54,420.0,58.73,187.0,0.0,23.32
2013-08-30 23:12:54,411.0,58.76,189.0,0.0,23.32
2013-08-30 23:25:02,416.0,58.7,188.0,0.0,23.34
2013-08-31 01:03:05,388.0,57.62,163.0,0.0,23.52
2013-08-31 01:15:41,376.0,57.56,162.0,0.0,23.5
2013-08-31 01:28:02,383.0,57.5,163.0,0.0,23.53
2013-08-31 01:39:54,392.0,57.38,164.0,0.0,23.53
2013-08-31 01:51:56,383.0,57.28,163.0,0.0,23.52
2013-08-31 02:05:07,375.0,57.25,154.0,0.0,23.52
2013-08-31 03:20:02,357.0,57.93,18.0,0.0,23.2
2013-08-31 03:33:25,349.0,58.08,18.0,0.0,23.08
2013-08-31 03:46:45,335.0,58.36,18.0,0.0,23.01
2013-08-31 04:10:11,341.0,58.73,18.0,0.0,22.91
2013-08-31 04:34:03,352.0,58.79,18.0,0.0,22.93
2013-08-31 04:45:55,356.0,58.79,19.0,0.0,22.95
2013-08-31 04:58:02,352.0,58.82,18.0,0.0,22.95
2013-08-31 05:10:02,349.0,58.88,17.0,0.0,22.96
2013-08-31 05:57:41,347.0,58.94,18.0,0.0,22.93
2013-08-31 06:09:41,367.0,58.91,18.0,0.0,22.92
2013-08-31 06:22:21,364.0,58.94,18.0,0.0,22.9
2013-08-31 06:34:51,366.0,58.85,17.0,0.0,22.88
2013-08-31 06:47:31,352.0,58.88,18.0,0.0,22.86
2013-08-31 06:59:44,367.0,59.04,17.0,0.0,22.84
